# クレジット画面に表示する制作メンバーの一覧です。
# 列は 名前,役職,所属 の順です。カンマを含む値は "" で囲んでください。
# 空行と # で始まる行は無視されます。
名前,役職,所属
八幡 拓音（ヤハタ タクト）,ディレクター,バンタンゲームアカデミー東京校 4年制 大学部 ゲームプログラマー専攻 3年次
田口 令（タグチ レイ）,リードプログラマー（クライアント部門）,バンタンゲームアカデミー東京校 4年制 大学部 ゲームプログラマー専攻 3年次
山田 絢斗（ヤマダ アヤト）,プログラマー（クライアント部門エンジニア）,バンタンゲームアカデミー東京校 4年制 大学部 ゲームプログラマー専攻 2年次
坂本 陽（サカモト アキラ）,プログラマー（クライアント部門エンジニア）,バンタンゲームアカデミー東京校 3年制 専門部 ゲームプログラマー専攻 2年次
張 澤新（チョウ タクシン）,プログラマー（クライアント部門エンジニア）,バンタンゲームアカデミー東京校 3年制 専門部 ゲームプログラマー専攻 2年次
阿部 竜希（アベ タツキ）,プログラマー（クライアント部門エンジニア）,バンタンゲームアカデミー東京校 3年制 専門部 ゲームプログラマー専攻 2年次
山宮 翔太（ヤマミヤ ショウタ）,プログラマー（クライアント部門エンジニア）,バンタンゲームアカデミー東京校 5年制 高等部 ゲームプログラマー専攻 4年次
横障子 純（ヨコショウジ ジュン）,リードプログラマー（開発部門）,バンタンゲームアカデミー東京校 4年制 大学部 ゲームプログラマー専攻 2年次
宮本 海翔（ミヤモト カイト）,プログラマー（開発部門エンジニア）,バンタンゲームアカデミー東京校 3年制 専門部 ゲームプログラマー専攻 2年次
富山 蒼生（トミヤマ アオイ）,プログラマー（開発部門エンジニア）,バンタンゲームアカデミー東京校 4年制 専門部 ゲームプログラマー専攻 3年次
及川 裕己（オイカワ ユウキ）,プログラマー（テクニカルアーティスト）,バンタンゲームアカデミー東京校 5年制 高等部 ゲームプログラマー専攻 3年次
辻井 孝輔（ツジイ コウスケ）,プログラマー（ウェブデザイナー）,バンタンゲームアカデミー東京校 5年制 高等部 ゲームプログラマー専攻 3年次
矢嶋 奏人（ヤジマ カナト）,エンジニア（プリプロダクション開発）,バンタンゲームアカデミー東京校 3年制 専門部 ゲームプログラマー専攻 2年次
神田 莉穂（カンダ リホ）,エンジニア（サーバーサイド）,バンタンゲームアカデミー東京校 4年制 大学部 ゲームプログラマー専攻 2年次
堤伎六（ツツミ キリク）,エンジニア（バックエンド）,バンタンゲームアカデミー東京校 3年制 専門部 ゲームプログラマー専攻 3年次
笹谷 康太（ササヤ コウタ）,3Dモデラ―（キャラクター）,バンタンゲームアカデミー東京校 2年制 専門部 ゲームグラフィッカー専攻 2年次
山出 蒼（ヤマイデ ソラ）,3Dモデラ―（キャラクター）,バンタンゲームアカデミー東京校 2年制 専門部 ゲームグラフィッカー専攻 1年次
大久保 樹（オオクボ タツキ）,3Dモデラ― （背景リードデザイナー）,バンタンゲームアカデミー東京校 3年制 専門部 ゲームグラフィッカー専攻 2年次
塩畑 拓弥（シオハタ タクミ）,3Dモデラ―（背景）,バンタンゲームアカデミー東京校 3年制 専門部 ゲームグラフィッカー専攻 2年次
富永 真浩（トミナガ マサヒロ）,3Dモデラ―（背景）,バンタンゲームアカデミー東京校 3年制 専門部 ゲームグラフィッカー専攻 1年次
ドゥアルテ ロメロ セサル アウグスト,3Dモデラ―（武器）,バンタンゲームアカデミー東京校 3年制 専門部 ゲームグラフィッカー専攻 1年次
