1,Background,OutdoorsInCity,,,,,
5,Portrait,Right,TextBox,0,0,2.75,TRUE
10,Text,,〇行政中央区東地区 廃ビル内,,,,
20,Text,Triad,目的は情報回収だ。くれぐれも無駄な交戦は避けるように,,,,
30,Text,Symphony,了解。ここからは二手に別れて捜索しようと思う。その方が発見されづらいし、効率もいいから,,,,
40,Text,Prelude,なるほど！　いいねぇ。じゃあ、東側はSymphony、西側はボクでいい？,,,,
50,Text,,Symphonyが頷いた。,,,,
60,Text,Triad,……危険性もあるが、確かに効率的だな。許可する,,,,
70,Text,Prelude,じゃ、現地集合ってことで！,,,,
80,Text,Symphony,死なないようにね。じゃ。また後で,,,,
90,Text,Prelude,キミにそれ言われると怖いんだけど！？,,,,
100,Text,,Symphonyは返事をせず、ビルから飛び降りた。,,,,
110,Text,,〇行政中央区東地区 連邦軍キャンプ周辺,,,,
120,Text,,有刺鉄線。,,,,
130,Text,,土嚢。,,,,
140,Text,,監視塔。,,,,
150,Text,,連邦軍前線キャンプ。,,,,
160,Text,,Symphonyは瓦礫の陰へ伏せ、双眼鏡を覗く。,,,,
170,Text,,《Enemy Scan Start》,,,,
180,Text,,《Enemy Count：12》,,,,
190,Text,,《Camera：ONLINE》,,,,
200,Text,Symphony,……,,,,
210,Text,,彼女は腰から小型端末を取り出す。,,,,
220,Text,,高度なセキュリティを持つ電子機器でもハッキングが可能な、OKB-713製の潜入支援端末に電源が入る。,,,,
230,Text,,《Optical Noise ACTIVE》,,,,
240,Text,,その瞬間。,,,,
250,Text,,監視カメラ映像へノイズが走る。,,,,
260,Text,連邦軍監視兵,……？,,,,
270,Text,連邦軍監視兵,おい、今映像が――,,,,
280,Text,,その一瞬の間にSymphonyは音もなくキャンプ内部へと侵入した。,,,,
290,Text,,〇連邦軍キャンプ内部,,,,
300,Text,,テント群。,,,,
310,Text,,弾薬箱。,,,,
320,Text,,通信車両。,,,,
330,Text,,Symphonyは次々と兵士の死角へ入り込み、先へ進んでいく。,,,,
340,Text,,敵兵の背後に回り込み、腕で首を絞める。,,,,
350,Text,,崩れ落ちる兵士。,,,,
360,Text,Symphony,……,,,,
370,Text,,感情はない。,,,,
380,Text,,ただ任務だけを遂行する。,,,,
390,Text,,そして、Symphonyは司令テントへ侵入した。,,,,
400,Text,,敵兵に警戒しながら、辺りを見回す。,,,,
410,Text,,地図。,,,,
420,Text,,無線機。,,,,
430,Text,,パソコン。,,,,
